BINHO;1000 YATIRIMLAR HOLDİNG A.Ş.
KLYPV;KALYON GÜNEŞ TEKNOLOJİLERİ ÜRETİM A.Ş.
KAPLM;KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.
KRDMA;KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KRDMB;KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KRDMD;KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KAREL;KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
KARSN;KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.
KRTEK;KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.
KARTN;KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.
KTLEV;KATILIMEVİM TASARRUF FİNANSMAN A.Ş.
KATMR;KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.
KAYSE;KAYSERİ ŞEKER FABRİKASI A.Ş.
KENT;KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.
KRVGD;KERVAN GIDA SANAYİ VE TİCARET A.Ş.
TCKRC;KIRAÇ GALVANİZ TELEKOMİNİKASYON METAL MAKİNE İNŞAAT ELEKTRİK SANAYİ VE TİCARET A.Ş.
KZBGY;KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KLGYO;KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KLRHO;KİLER HOLDİNG A.Ş.
KMPUR;KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.
KLMSN;KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.
KCAER;KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.
KCHOL;KOÇ HOLDİNG A.Ş.
KOCMT;KOÇ METALURJİ A.Ş.
KLSYN;KOLEKSİYON MOBİLYA SANAYİ A.Ş.
KNFRT;KONFRUT TARIM A.Ş.
KONTR;KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.
KONYA;KONYA ÇİMENTO SANAYİİ A.Ş.
KONKA;KONYA KAĞIT SANAYİ VE TİCARET A.Ş.
KGYO;KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KORDS;KORDSA TEKNİK TEKSTİL A.Ş.
KRPLS;KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.
KOTON;KOTON MAĞAZACILIK TEKSTİL SANAYİ VE TİCARET A.Ş.
KOZAL;KOZA ALTIN İŞLETMELERİ A.Ş.
KOZAA;KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.
KOPOL;KOZA POLYESTER SANAYİ VE TİCARET A.Ş.
KRGYO;KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KRSTL;KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.
KRONT;KRON TEKNOLOJİ A.Ş.
KSTUR;KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.
KUYAS;KUYAŞ YATIRIM A.Ş.
KBORU;KUZEY BORU A.Ş.
KZGYO;KUZUGRUP GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
KUTPO;KÜTAHYA PORSELEN SANAYİ A.Ş.
KTSKR;KÜTAHYA ŞEKER FABRİKASI A.Ş.
LIDER;LDR TURİZM A.Ş.
LIDFA;LİDER FAKTORİNG A.Ş.
LILAK;LİLA KAĞIT SANAYİ VE TİCARET A.Ş.
LMKDC;LİMAK DOĞU ANADOLU ÇİMENTO SANAYİ VE TİCARET A.Ş.
